key,row,column,notes,row12
eden,388.5,0.4,Edenic Promise,32
noah,476,0.4,Cevenant with Noah,39
rainbow,613.5,0.4,Raibow Covenant,50
abraham,701,0.4,Covenant with Abraham,57
circumcision,826,0.4,Covenant of Circumcision,67
mosaic,13.5,15.4,Mosaic Law Covenant,2
levi,113.5,15.4,Covenant with the Tribe of Levi (1512),10
israel,188.5,15.4,Covenant with Israel at Moab,16
david,301,15.4,Covenant with King David,25
melchizedek,401,15.4,Covenant wto Be a Priest Like Mechizedek,33
new,976,15.4,New Covenant,79
followers,1038.5,15.4,Jesus’ Covenant with Followers for a Kingdom,84
